,prompt,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9
0,statue of a man,train,train,train,train,val,train,train,train,train,train
1,a tray of sushi,test,test,test,test,test,test,test,test,test,test
2,man lost in space,train,val,val,train,train,train,train,val,train,train
3,a cosmic universe,test,test,test,test,test,test,test,test,test,test
4,red and blue armor,train,train,train,train,train,train,train,val,train,train
5,house of the dragon,val,train,train,train,train,train,train,train,train,train
6,a river in a forest,test,test,test,test,test,test,test,test,test,test
7,a cat doing karaoke,test,test,test,test,test,test,test,test,test,test
8,joe biden very happy,train,train,train,train,train,train,train,train,train,train
9,girl from fight club,train,train,train,val,train,train,train,train,train,train
10,face shot of a woman,train,train,train,train,train,train,train,train,train,train
11,the prince of the sun,train,train,train,train,train,train,train,train,train,train
12,life bar and mana bar,train,train,train,train,train,train,train,train,train,train
13,everything is a dream,train,train,val,train,train,train,train,train,train,train
14,a small leopard gecko,test,test,test,test,test,test,test,test,test,test
15,santa claus on drugs,train,train,val,train,train,train,train,train,train,train
16,very sad rabbit crying,test,test,test,test,test,test,test,test,test,test
17,tragedy of the commons,test,test,test,test,test,test,test,test,test,test
18,man hating his printer,train,train,train,train,train,train,train,train,train,train
19,big boss eating dinner,train,train,train,train,train,train,train,train,train,val
20,a overgrown old house,train,train,train,train,train,train,train,train,train,train
21,portrait of mecha robot,train,train,train,train,train,train,train,train,val,train
22,panda chef in a kitchen,val,train,train,train,train,train,train,train,train,train
23,king kong on fighting,train,train,train,train,train,val,val,train,train,train
24,goddess of mystic unity,test,test,test,test,test,test,test,test,test,test
25,a still of breaking bad,train,train,train,train,train,train,train,train,train,train
26,a painting of a eclipse,train,val,train,train,train,train,train,train,train,train
27,the large cresting waves,train,train,train,train,train,train,train,val,train,train
28,maroon to black gradient,test,test,test,test,test,test,test,test,test,test
29,legendary river of slugs,train,val,train,train,train,val,train,train,train,train
30,brand logo fruit company,test,test,test,test,test,test,test,test,test,test
31,black mickey mouse skull,train,train,train,val,train,train,train,train,train,train
32,an emo portrait painting,train,train,train,train,train,train,train,train,train,train
33,the pope had a rock band,train,train,train,train,train,train,train,train,train,train
34,rat portrait as a warrior,train,train,train,train,train,val,train,train,val,train
35,illustration of a rowboat,train,train,train,train,train,train,train,train,train,train
36,gnome warfare at walmart,train,train,train,train,train,val,train,val,train,train
37,demon queen with red eyes,train,train,train,val,train,train,train,train,val,train
38,christmas at kelly family,train,train,train,val,train,train,train,train,train,train
39,beautiful topaz girl dark,train,train,val,train,train,train,val,train,train,train
40,an elaborate robot coding,train,train,train,train,train,train,train,train,train,val
41,a raspberry made of metal,test,test,test,test,test,test,test,test,test,test
42,a man jumping off a cliff,test,test,test,test,test,test,test,test,test,test
43,a frog wearing police cap,train,train,train,train,train,val,train,train,train,train
44,male warrior silver armor,train,train,train,train,train,train,train,train,train,train
45,superman punches the pope,train,train,train,train,train,train,train,train,train,train
46,the drowned and the saved,train,train,train,train,train,train,train,train,train,train
47,stalin tapdancing on stage,train,train,train,val,train,train,train,train,train,train
48,scottish highlands at dawn,train,train,train,train,train,train,train,train,train,train
49,portrait of evil alchemist,train,train,train,train,train,train,train,train,train,train
50,logo design of a full moon,train,train,train,train,train,train,train,train,train,train
51,hanging gardens of babylon,test,test,test,test,test,test,test,test,test,test
52,concept art of giant ogres,train,train,val,train,val,train,train,train,val,train
53,castle from howl's sticker,test,test,test,test,test,test,test,test,test,test
54,beautiful white fluffy cat,train,train,train,train,val,train,train,train,val,train
55,a small ocean full of life,train,train,train,train,train,train,train,train,train,train
56,survival in a winter forest,val,train,val,train,val,train,train,train,train,train
57,sartre hugging a sad alien,train,train,val,train,train,train,train,train,train,train
58,hairy man in eagle costume,train,train,train,train,train,train,train,train,train,train
59,barak obama as master chief,train,train,train,train,train,train,train,train,train,train
60,"artwork with only triangles, anime style",train,train,train,train,train,train,train,train,train,train
61,"a yellow rendition of venom, sci-fi style",train,train,train,train,train,train,train,train,val,train
62,"a colour portrait of a king, realistic style",val,train,train,train,val,train,train,train,train,train
63,"overwatch small hut building, abstract style",train,train,train,train,train,train,train,train,train,train
64,"monsters playing board games, baroque style",train,train,val,train,train,train,train,train,val,train
65,"an environmental concept art, anime style",train,val,val,train,train,train,train,train,train,train
66,"a pizza with chocolate on it, sci-fi style",train,val,train,train,train,train,train,val,train,train
67,"a woman in newspaper clothes, realistic style",test,test,test,test,test,test,test,test,test,test
68,"yog sothoth chef in a kitchen, abstract style",train,train,train,train,train,train,train,train,train,train
69,"synthwave astronaut tabby cat, baroque style",train,train,train,train,train,train,train,train,train,train
70,"space reflected in fox's eye , anime style",train,train,train,train,train,val,train,train,train,train
71,"smart sri lanka buddhist monk, sci-fi style",test,test,test,test,test,test,test,test,test,test
72,"painted portrait of snake man, realistic style",train,train,train,train,train,train,train,train,val,train
73,"otter making a disgusted face, abstract style",val,train,train,train,train,train,train,train,val,train
74,"legionary of the roman empire, baroque style",train,train,train,val,val,train,val,val,train,val
75,"concept art of octopus attack, anime style",test,test,test,test,test,test,test,test,test,test
76,"a biomechanical dahlia flower, sci-fi style",train,train,train,train,train,train,train,val,train,train
77,"a anthropomorphic cat warrior, realistic style",train,train,train,train,train,train,train,train,train,train
78,"tree of life embroidered scene, abstract style",train,train,train,train,val,train,train,train,train,train
79,"the infernal dark gun magicks , baroque style",train,val,train,train,train,train,train,train,train,train
80,"painted portrait of goblin man, anime style",train,train,val,train,train,train,train,val,train,train
81,"large purple lovecraftian void, sci-fi style",train,val,train,val,train,train,train,train,train,train
82,"lanky young half - orc warrior, realistic style",train,train,train,train,train,train,val,train,train,val
83,"eiffel tower drenched in blood, abstract style",train,train,train,train,train,train,train,train,train,train
84,"sheep that looks like broccoli, baroque style",train,train,train,train,train,train,train,train,train,train
85,"grumpy minions sitting in a bar, anime style",train,train,val,train,train,train,train,train,train,train
86,"a very drunk person named aaron, sci-fi style",train,train,train,train,train,train,train,train,val,train
87,"a tonalism portrait of a ghost , realistic style",test,test,test,test,test,test,test,test,test,test
88,"a space shuttle flying in space, abstract style",val,train,train,train,train,train,train,train,train,train
89,"a crocodile in a new york sewer, baroque style",test,test,test,test,test,test,test,test,test,test
90,"little girl with a mushroom hat, anime style",train,train,train,val,train,train,train,train,train,train
91,"ufo ignoring the laws of phyics, sci-fi style",train,train,train,train,train,train,train,train,train,train
92,"steampunk walter white portrait , realistic style",train,train,train,train,train,val,train,train,train,train
93,"photo of tony danza eating chili, abstract style",train,val,train,train,train,train,train,train,train,train
94,"painted portrait of fierce elder, baroque style",train,train,train,train,train,train,train,train,train,val
